,_id,_type,attr
1234,4554.0,Female,Hot Lipstick
1235,4554.0,Female,Regular Shades
1236,4554.0,Female,Straight Hair Dark
1237,4555.0,Male,Frumpy Hair
1238,4555.0,Male,Muttonchops
1239,4556.0,Male,Frown
1240,4556.0,Male,Mohawk
1241,4556.0,Male,Clown Eyes Green
1242,4557.0,Male,Normal Beard Black
1243,4557.0,Male,Headband
1244,4558.0,Male,Cap Forward
1245,4558.0,Male,Normal Beard
1246,4558.0,Male,Smile
1247,4559.0,Zombie,Stringy Hair
1248,4559.0,Zombie,Earring
1249,4560.0,Female,Mole
1250,4560.0,Female,Blonde Short
1251,4560.0,Female,Cigarette
1252,4561.0,Male,Cigarette
1253,4561.0,Male,Fedora
1254,4562.0,Female,Black Lipstick
1255,4562.0,Female,Stringy Hair
1256,4562.0,Female,VR
1257,4563.0,Female,Mole
1258,4563.0,Female,Knitted Cap
1259,4564.0,Male,Stringy Hair
1260,4564.0,Male,Earring
1261,4565.0,Male,Hoodie
1262,4565.0,Male,Shadow Beard
1263,4565.0,Male,VR
1264,4566.0,Female,Big Shades
1265,4566.0,Female,Pink With Hat
1266,4567.0,Male,Bandana
1267,4567.0,Male,Buck Teeth
1268,4567.0,Male,Big Beard
1269,4568.0,Female,Straight Hair Blonde
1270,4568.0,Female,Purple Lipstick
1271,4569.0,Male,Clown Eyes Blue
1272,4569.0,Male,Shadow Beard
1273,4569.0,Male,Mohawk
1274,4570.0,Male,Wild Hair
1275,4570.0,Male,Classic Shades
1276,4571.0,Female,Big Shades
1277,4571.0,Female,Crazy Hair
1278,4572.0,Male,Frown
1279,4572.0,Male,Purple Hair
1280,4572.0,Male,Mustache
1281,4572.0,Male,Nerd Glasses
1282,4573.0,Female,Frumpy Hair
1283,4573.0,Female,Clown Eyes Blue
1284,4574.0,Male,Frown
1285,4574.0,Male,Shadow Beard
1286,4574.0,Male,Crazy Hair
1287,4574.0,Male,VR
1288,4575.0,Female,Mole
1289,4575.0,Female,Wild White Hair
1290,4575.0,Female,Purple Eye Shadow
1291,4575.0,Female,Purple Lipstick
1292,4576.0,Male,Bandana
1293,4576.0,Male,Earring
1294,4576.0,Male,3D Glasses
1295,4577.0,Male,Luxurious Beard
1296,4577.0,Male,Shaved Head
1297,4578.0,Male,Cigarette
1298,4578.0,Male,Headband
1299,4578.0,Male,VR
1300,4579.0,Female,Stringy Hair
1301,4580.0,Female,Blue Eye Shadow
1302,4580.0,Female,Crazy Hair
1303,4580.0,Female,Earring
1304,4581.0,Male,Buck Teeth
1305,4581.0,Male,Big Shades
1306,4581.0,Male,Headband
1307,4582.0,Male,Frumpy Hair
1308,4582.0,Male,Luxurious Beard
1309,4582.0,Male,Small Shades
1310,4583.0,Male,Top Hat
1311,4583.0,Male,Mole
1312,4584.0,Female,Green Eye Shadow
1313,4584.0,Female,Purple Lipstick
1314,4584.0,Female,Straight Hair Dark
1315,4584.0,Female,Cigarette
1316,4585.0,Female,Wild White Hair
1317,4585.0,Female,Clown Eyes Blue
1318,4586.0,Female,Big Shades
1319,4586.0,Female,Crazy Hair
1320,4587.0,Male,Stringy Hair
1321,4587.0,Male,Front Beard
1322,4587.0,Male,Regular Shades
1323,4588.0,Male,Chinstrap
1324,4588.0,Male,Crazy Hair
1325,4588.0,Male,VR
1326,4589.0,Male,Hoodie
1327,4589.0,Male,Muttonchops
1328,4589.0,Male,Nerd Glasses
1329,4590.0,Male,Clown Eyes Blue
1330,4590.0,Male,Police Cap
1331,4590.0,Male,Muttonchops
1332,4590.0,Male,Earring
1333,4590.0,Male,Pipe
1334,4591.0,Male,Cap
1335,4591.0,Male,Shadow Beard
1336,4592.0,Male,Front Beard
1337,4592.0,Male,Mohawk Thin
1338,4592.0,Male,Horned Rim Glasses
1339,4593.0,Male,Clown Nose
1340,4593.0,Male,Mohawk Thin
1341,4593.0,Male,Clown Eyes Green
1342,4594.0,Male,Police Cap
1343,4594.0,Male,Mustache
1344,4595.0,Female,Pipe
1345,4595.0,Female,Black Lipstick
1346,4595.0,Female,Blonde Bob
1347,4596.0,Male,Clown Nose
1348,4596.0,Male,Gold Chain
1349,4596.0,Male,Knitted Cap
1350,4596.0,Male,Medical Mask
1351,4597.0,Female,Black Lipstick
1352,4597.0,Female,Frumpy Hair
1353,4597.0,Female,VR
1354,4598.0,Female,Blonde Short
1355,4598.0,Female,Hot Lipstick
1356,4598.0,Female,Regular Shades
1357,4599.0,Male,Big Shades
1358,4599.0,Male,Shadow Beard
1359,4599.0,Male,Wild Hair
1360,4600.0,Male,Big Shades
1361,4600.0,Male,Shaved Head
1362,4601.0,Male,Peak Spike
1363,4601.0,Male,Classic Shades
1364,4601.0,Male,Normal Beard
1365,4602.0,Male,Handlebars
1366,4602.0,Male,Police Cap
1367,4602.0,Male,Nerd Glasses
1368,4603.0,Male,Cap Forward
1369,4603.0,Male,Big Shades
1370,4603.0,Male,Earring
1371,4604.0,Male,Shadow Beard
1372,4604.0,Male,Top Hat
1373,4605.0,Male,Clown Nose
1374,4605.0,Male,Earring
1375,4605.0,Male,Headband
1376,4606.0,Female,Big Shades
1377,4606.0,Female,Half Shaved
1378,4607.0,Male,Vape
1379,4607.0,Male,Clown Hair Green
1380,4608.0,Male,Hoodie
1381,4608.0,Male,Goat
1382,4609.0,Male,Nerd Glasses
1383,4609.0,Male,Headband
1384,4610.0,Male,Stringy Hair
